ts,name,x,y,z
36938.4,right_pinky,0.811728,0.298555,-0.082748
36938.4,left_thumb,0.421826,0.612555,-0.036602
36938.4,left_index,0.425314,0.410104,-0.046263
36938.4,left_middle,0.389996,0.310347,-0.047521
36938.4,left_ring,0.326988,0.288476,-0.063894
36938.4,left_pinky,0.203092,0.319104,-0.069245
36955.1,right_thumb,0.559853,0.563048,-0.040392
36955.1,right_index,0.566026,0.369142,-0.049406
36955.1,right_middle,0.625992,0.274737,-0.055800
36955.1,right_ring,0.688831,0.261616,-0.073025
36955.1,right_pinky,0.810178,0.299563,-0.082991
36955.1,left_thumb,0.421142,0.612679,-0.036564
36955.1,left_index,0.424217,0.409369,-0.046169
36955.1,left_middle,0.388715,0.309435,-0.047401
36955.1,left_ring,0.325049,0.286986,-0.063884
36955.1,left_pinky,0.200335,0.318081,-0.069242
36971,right_thumb,0.558438,0.565121,-0.040588
36971,right_index,0.563870,0.369784,-0.049696
36971,right_middle,0.624010,0.275450,-0.056040
36971,right_ring,0.687092,0.262503,-0.073205
36971,right_pinky,0.808811,0.300326,-0.083161
36971,left_thumb,0.420587,0.612831,-0.036533
36971,left_index,0.423279,0.408710,-0.045965
36971,left_middle,0.387504,0.308580,-0.047143
36971,left_ring,0.323239,0.285824,-0.063761
36971,left_pinky,0.198049,0.317400,-0.069119
36988.5,right_thumb,0.557034,0.567259,-0.040601
36988.5,right_index,0.561937,0.370297,-0.049843
36988.5,right_middle,0.622000,0.276040,-0.056289
36988.5,right_ring,0.685230,0.263208,-0.073480
36988.5,right_pinky,0.807347,0.301013,-0.083412
36988.5,left_thumb,0.420038,0.613022,-0.036503
36988.5,left_index,0.422244,0.408098,-0.045810
36988.5,left_middle,0.386271,0.307833,-0.046981
36988.5,left_ring,0.321453,0.284711,-0.063721
36988.5,left_pinky,0.195902,0.316724,-0.069086
37013.4,right_thumb,0.555145,0.570411,-0.040835
37013.4,right_index,0.559470,0.371062,-0.050169
37013.4,right_middle,0.619764,0.276783,-0.056597
37013.4,right_ring,0.683456,0.264125,-0.073747
37013.4,right_pinky,0.805624,0.301957,-0.083634
37013.4,left_thumb,0.419275,0.613282,-0.036495
37013.4,left_index,0.421088,0.407554,-0.045791
37013.4,left_middle,0.384868,0.307150,-0.046868
37013.4,left_ring,0.319330,0.283463,-0.063714
37013.4,left_pinky,0.193510,0.316372,-0.069088
37029.9,right_thumb,0.553958,0.572615,-0.040931
37029.9,right_index,0.557835,0.371746,-0.050387
37029.9,right_middle,0.618142,0.277248,-0.056812
37029.9,right_ring,0.682152,0.264658,-0.073916
37029.9,right_pinky,0.804479,0.302468,-0.083773
37029.9,left_thumb,0.418783,0.613615,-0.036473
37029.9,left_index,0.420531,0.407210,-0.045813
37029.9,left_middle,0.383984,0.306807,-0.046914
37029.9,left_ring,0.318239,0.282988,-0.063808
37029.9,left_pinky,0.192231,0.316261,-0.069204
37046.8,right_thumb,0.552760,0.574522,-0.040906
37046.8,right_index,0.556210,0.372433,-0.050466
37046.8,right_middle,0.616521,0.277600,-0.056921
37046.8,right_ring,0.680723,0.265183,-0.074039
37046.8,right_pinky,0.803238,0.302934,-0.083896
37046.8,left_thumb,0.418376,0.613916,-0.036464
37046.8,left_index,0.419887,0.406968,-0.045869
37046.8,left_middle,0.383314,0.306589,-0.046973
37046.8,left_ring,0.317254,0.282683,-0.063941
37046.8,left_pinky,0.191202,0.316373,-0.069371
37062.9,right_thumb,0.551641,0.576162,-0.041051
37062.9,right_index,0.554739,0.373167,-0.050640
37062.9,right_middle,0.615042,0.277917,-0.057084
37062.9,right_ring,0.679392,0.265692,-0.074205
37062.9,right_pinky,0.802097,0.303495,-0.084039
